id,name,latitude,longitude,listing_url
2215762,"The Clare - The Upton Boston, South End",42.342121,-71.075073,https://www.airbnb.com/rooms/2215762
2277821,Sparkling New 2BR / 2BA in Back Bay,42.34877,-71.08418,https://www.airbnb.com/rooms/2277821
2292495,furnished 1 bed apartment copley #5,42.34125,-71.07604,https://www.airbnb.com/rooms/2292495
2378421,Light-filled Private Suite on Beautiful Street,42.31146,-71.11947,https://www.airbnb.com/rooms/2378421
2381143,Sunny 1 Bedroom,42.34391,-71.15628,https://www.airbnb.com/rooms/2381143
2395326,* Brownstone Classic South End,42.34568,-71.07169,https://www.airbnb.com/rooms/2395326
2410846,"Sunny Beacon Hill, corner unit top floor",42.35702,-71.06168,https://www.airbnb.com/rooms/2410846
2495047,"The Tremont - The Upton Boston, South End",42.34309,-71.07316,https://www.airbnb.com/rooms/2495047
2526773,Charming comfort 1 BR / Studio,42.34272,-71.15672,https://www.airbnb.com/rooms/2526773
2672058,"Modern loft, walk to subway",42.35429,-71.13251,https://www.airbnb.com/rooms/2672058
2701124,Charlesview Suites Back Bay,42.34492,-71.08482,https://www.airbnb.com/rooms/2701124
2723274,Lofty Modern 2BD Apt 800 sq ft,42.34868,-71.07043,https://www.airbnb.com/rooms/2723274
2754975,Perfect Location to Explore Boston,42.35902,-71.06296,https://www.airbnb.com/rooms/2754975
2864688,Beautiful 3 bedroom 2 bath apt in Charlestown,42.38148,-71.06967,https://www.airbnb.com/rooms/2864688
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,42.26043,-71.11766,https://www.airbnb.com/rooms/2886933
3164650,2bd APT 20min from Downtown Boston,42.23533,-71.13256,https://www.airbnb.com/rooms/3164650
3193484,2 Minutes Walk  to the Red Line!,42.28814,-71.06889,https://www.airbnb.com/rooms/3193484
3229255,1bd Boston apt - Convenient & quiet,42.28657,-71.13236,https://www.airbnb.com/rooms/3229255
3294152,"Garden Suite near subway, beach",42.31281,-71.06098,https://www.airbnb.com/rooms/3294152
3316049,Beautiful Junior 1-bedroom apartment,42.34512,-71.06492,https://www.airbnb.com/rooms/3316049
3343428,"AKBrownstone: custom-built, park garden view by T",42.32811,-71.09157,https://www.airbnb.com/rooms/3343428
3441982,Urban Travelers Modern Studio,42.31907,-71.09252,https://www.airbnb.com/rooms/3441982
3457722,"Sunlit w/ huge kitchen, parking & easy to downtown",42.35564,-71.15746,https://www.airbnb.com/rooms/3457722
3463914,4th of July Dream Spot!,42.351,-71.08899,https://www.airbnb.com/rooms/3463914
3520353,Luxury Beacon Hill Apartment 1-BR,42.35884,-71.06332,https://www.airbnb.com/rooms/3520353
3521944,"Beautiful, Quiet, and Safe!",42.29742,-71.157,https://www.airbnb.com/rooms/3521944
3539510,230B2 · The Roseclair w/Central AC and IN-unit Lau,42.32213,-71.06094,https://www.airbnb.com/rooms/3539510
3544343,Beacon Hill!! Feet Fom State House,42.35844,-71.06153,https://www.airbnb.com/rooms/3544343
3602379,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",42.32843,-71.09369,https://www.airbnb.com/rooms/3602379
3605045,Immaculate space with off street parking!,42.28512,-71.07672,https://www.airbnb.com/rooms/3605045
3656168,Parking Close 2 Downtown Renovated,42.31676,-71.08,https://www.airbnb.com/rooms/3656168
3672942,Private Boston Antique Suite,42.27242,-71.16573,https://www.airbnb.com/rooms/3672942
3705824,Small Rm +walk-in closet Easy to Longwood/Downtown,42.31676,-71.08,https://www.airbnb.com/rooms/3705824
3890373,Beacon Hill Fabulous One Bedroom Apartment,42.35792,-71.06432,https://www.airbnb.com/rooms/3890373
3957602,"Entire 2nd floor, skylight suite is all yours!",42.31016,-71.10582,https://www.airbnb.com/rooms/3957602
3965313,Minutes to Boston-Near Beach 69-1,42.38679,-71.00271,https://www.airbnb.com/rooms/3965313
3968797,Sunny bedroom in large quiet house,42.28969,-71.13183,https://www.airbnb.com/rooms/3968797
3969526,"Sensational South End!  2BR, no stairs.",42.33765,-71.07434,https://www.airbnb.com/rooms/3969526
4000384,Sunlit room with private bath,42.31826,-71.09956,https://www.airbnb.com/rooms/4000384
4089940,2BR North End Apt,42.36721113952561,-71.05260243826824,https://www.airbnb.com/rooms/4089940
4090224,Sanitized Modern 3BD private home-near BCEC,42.3357,-71.05395,https://www.airbnb.com/rooms/4090224
4105704,Sunny Private Studio Aptmt,42.30385,-71.1151,https://www.airbnb.com/rooms/4105704
4119345,Airy new apt for 2-6. Near subway. Free parking.,42.31063344940129,-71.10855891982172,https://www.airbnb.com/rooms/4119345
4148586,Back Bay Charmer,42.35491,-71.07463,https://www.airbnb.com/rooms/4148586
4150640,Beautiful Studio Apt in North End,42.366747719022264,-71.05288415197064,https://www.airbnb.com/rooms/4150640
4173285,"Bright, cozy bedroom in Victorian",42.28547,-71.06799,https://www.airbnb.com/rooms/4173285
4233242,Quiet Artist's Retreat,42.31246,-71.10793,https://www.airbnb.com/rooms/4233242
4257929,Two Bedroom Apartment in Kenmore Sq,42.34853,-71.09256,https://www.airbnb.com/rooms/4257929
4263736,AKBrownstone: Master Suite park view by T,42.32971,-71.0931,https://www.airbnb.com/rooms/4263736
4278067,Studio apart Tremont St South End #2,42.34128,-71.07607,https://www.airbnb.com/rooms/4278067
4283698,Private 1 bedroom w/ kitchenette,42.28925,-71.13875,https://www.airbnb.com/rooms/4283698
4291607,Great location!,42.33678,-71.15237,https://www.airbnb.com/rooms/4291607
4315439,Room Logan Airport  1/2 bathroom,42.38829,-71.00437,https://www.airbnb.com/rooms/4315439
4348422,Cozy Jamaica Plain Pad,42.31128,-71.10981,https://www.airbnb.com/rooms/4348422
4364925,large & grand 2 bedroom South End by Copley Sq #3,42.34128,-71.07607,https://www.airbnb.com/rooms/4364925
4364989,newly furn one bedroom by Copley #6,42.34128,-71.07607,https://www.airbnb.com/rooms/4364989
4410765,"Grt Location, Big 3 Bed, Nr all Colleges, parking",42.35309,-71.14822,https://www.airbnb.com/rooms/4410765
4460532,AKBrownstone: modern treetop skyline view by T,42.32942,-71.09149,https://www.airbnb.com/rooms/4460532
4461613,Comfy Beacon Hill Studio Great for Work Travel #13,42.36017,-71.06346,https://www.airbnb.com/rooms/4461613
4461846,South End Studio Perfect for Work Travel #36,42.34441,-71.07633,https://www.airbnb.com/rooms/4461846
4461901,"Stylish Downtown Studio in the SouthEnd, #8",42.34447,-71.07644,https://www.airbnb.com/rooms/4461901
4500409,"Stylish Studio in Back Bay, on Newbury St; #1",42.34982,-71.08264,https://www.airbnb.com/rooms/4500409
4555637,AKBrownstone: Loft rooftop views by T,42.32965,-71.0932,https://www.airbnb.com/rooms/4555637
4560053,Fort Hill Inn Historic Beauty! Minutes to Center!,42.32397,-71.09085,https://www.airbnb.com/rooms/4560053
4566095,"The Upton South End, The Copley Suite",42.34301,-71.07304,https://www.airbnb.com/rooms/4566095
4568116,AKBrownstone: cozy private studio by T,42.32967,-71.09328,https://www.airbnb.com/rooms/4568116
4593974,Parking EZ 2 Downtown/Longwood Larg,42.31676,-71.08,https://www.airbnb.com/rooms/4593974
4593985,Parking Renovated Close to Downtown,42.31676,-71.08,https://www.airbnb.com/rooms/4593985
4602191,2 Bd/Bth Apt in Prime Location Gorgeous Water View,42.36452,-71.06928,https://www.airbnb.com/rooms/4602191
4614037,Boston RooftopTerrace/ 2 Bed / By Logan airport,42.378693,-71.035088,https://www.airbnb.com/rooms/4614037
4623114,South End Studio Perfect for Work Travel #46,42.34441,-71.07633,https://www.airbnb.com/rooms/4623114
4624582,Parking Easy to downtown/Longwood,42.31676,-71.08,https://www.airbnb.com/rooms/4624582
4625517,GreenT&bus stops in front of door,42.33245,-71.10642,https://www.airbnb.com/rooms/4625517
4630071,Charming studio,42.34341,-71.15451,https://www.airbnb.com/rooms/4630071
4662379,Historic House modernized,42.34765,-71.15509,https://www.airbnb.com/rooms/4662379
4699828,Charming Victorian Furnished Home,42.2563,-71.12762,https://www.airbnb.com/rooms/4699828
4710583,Cozy Attic Bedroom in Allston,42.35914,-71.13348,https://www.airbnb.com/rooms/4710583
4737304,Cosy Celtic Retreat,42.35111,-71.16529,https://www.airbnb.com/rooms/4737304
4755586,One Sweet Place (A) managed by Andrea,42.27667,-71.08169,https://www.airbnb.com/rooms/4755586
4757808,Romantic Beacon Hill Studio,42.35815,-71.07102,https://www.airbnb.com/rooms/4757808
4765070,Studio w/ private entrance and bathroom,42.32352198858505,-71.10688328334862,https://www.airbnb.com/rooms/4765070
4909590,"ALLSTON LOADED STUDIO: Steps to BU, BC & hospitals",42.34838,-71.13163,https://www.airbnb.com/rooms/4909590
5019306,Sunny Duplex Condo + Private Parking,42.33257,-71.02959,https://www.airbnb.com/rooms/5019306
5047340,Spacious Family-Friendly Townhome Near Harvard,42.35779,-71.13347,https://www.airbnb.com/rooms/5047340
5048406,3rd floor room in Victorian House,42.31124,-71.06551,https://www.airbnb.com/rooms/5048406
5049582,Quiet room - Great location!,42.31327,-71.10811,https://www.airbnb.com/rooms/5049582
5054601,"Large room with view on Downtown, 27 Dexter Street",42.33034,-71.05802,https://www.airbnb.com/rooms/5054601
5088560,Stunning SouthEnd/BackBay Penthouse,42.34041,-71.08384,https://www.airbnb.com/rooms/5088560
5124835,Massive Loft in Downtown Boston,42.35217566418068,-71.05775148697487,https://www.airbnb.com/rooms/5124835
5166870,2 Bdrm Apt w/ tower in JP Victorian,42.30542,-71.10409,https://www.airbnb.com/rooms/5166870
